company_id,company_name,website,industry,primary_service,country,city,state,employee_range,estimated_revenue_usd,founded_year,ownership,customer_profile,business_model,revenue_model,geography,key_services,growth_signal,reputation_signal,technology_stack,linkedin_url,company_description,demo_fit
C013,EduSphere Learning,https://eduspherelearning.com,EdTech,Learning management and employee training,United States,Chicago,Illinois,51-100,6.8M,2020,Private,Companies; HR and L&D teams,B2B SaaS,Subscription,North America,LMS; employee training,Growing,Positive,AWS; React; Node.js,https://www.linkedin.com/company/edusphere-learning,Corporate learning and training management platform,Medium
C014,BuildTrack Pro,https://buildtrackpro.com,Construction Technology,Construction project management software,United States,Phoenix,Arizona,101-250,14.6M,2017,Private,Construction firms; contractors,B2B SaaS,Subscription,North America,Project management; field operations,Growing,Positive,AWS; React; PostgreSQL,https://www.linkedin.com/company/buildtrack-pro,Construction management platform for project; field; and contractor workflows,Medium
C015,AdSpark Media,https://adsparkmedia.com,Marketing Technology,Digital advertising and campaign analytics,United States,Los Angeles,California,51-100,12.7M,2018,Private,Marketing teams; agencies,B2B SaaS,Subscription,North America,Campaign analytics; advertising automation,Growing,Positive,AWS; Python; React,https://www.linkedin.com/company/adspark-media,Marketing analytics and advertising automation platform,Medium
C016,OpenSource Labs,https://opensourcelabs.example,Developer Tools,Open-source developer infrastructure,United States,San Francisco,California,11-50,2.1M,2022,Private,Developer teams; startups,B2B SaaS,Freemium + subscription,Global,Developer infrastructure,Growing,Positive,Kubernetes; GitHub; AWS,https://www.linkedin.com/company/opensource-labs,Developer infrastructure startup with a freemium product model,Medium
C017,EnterpriseWorks Group,https://enterpriseworks.example,IT Services,Enterprise IT consulting,United States,New York,New York,1001-5000,180M,2008,Private,Large enterprises; government,Professional Services,Project-based,North America,IT consulting; systems integration,Stable,Neutral,AWS; Azure; SAP,https://www.linkedin.com/company/enterpriseworks-group,Large enterprise IT consulting and systems integration company,Low
C018,BudgetBooks Online,https://budgetbooksonline.example,Accounting Software,Small business accounting software,United States,Phoenix,Arizona,11-50,1.4M,2021,Private,Small businesses,B2B SaaS,Subscription,North America,Accounting; invoicing,Growing,Positive,AWS; React; PostgreSQL,https://www.linkedin.com/company/budgetbooks-online,Low-cost accounting and invoicing platform targeting small businesses,Low
C019,CryptoX Exchange,https://cryptox.example,Cryptocurrency,"Digital asset exchange, United States",Miami,Florida,251-500,75M,2016,Private,Retail crypto users; traders,Marketplace,Transaction fees,Global,Cryptocurrency trading,Volatile,,Mixed,AWS; Kubernetes,https://www.linkedin.com/company/cryptox-exchange,Digital asset trading platform,Reject
C020,Acme Manufacturing,https://acmemanufacturing.example,Manufacturing,Industrial equipment manufacturing,United States,Detroit,Michigan,501-1000,95M,2005,Private,Industrial distributors; manufacturers,Manufacturing,Product sales,North America,Industrial equipment,Stable,Positive,ERP; AWS,https://www.linkedin.com/company/acme-manufacturing,Industrial manufacturer serving distributors and commercial customers,Reject
C021,SendLayer,https://sendlayer.com,Email Delivery,Transactional email API,United States,Austin,Texas,11-50,3.2M,2020,Private,Developers; SaaS companies,B2B SaaS,Subscription,Global,Transactional email; deliverability,Growing,Positive,AWS; Node.js; Kubernetes,https://www.linkedin.com/company/sendlayer,Transactional email API built for developers with high deliverability,High
C022,Paddle.com,https://paddle.com,Payments,merchant of record payment processing,United Kingdom,London,England,201-500,70M,2015,Public,Software companies; digital businesses,B2B SaaS,Transaction fees,Global,Merchant of record; subscription billing,Growing,Positive,AWS; Kubernetes; PostgreSQL,https://www.linkedin.com/company/paddle,Merchant of record payment platform handling global taxes and compliance for software companies,High
C023,Z encante,https://zencante.com,HR Technology,Employee engagement and culture platform,United States,Denver,Colorado,51-100,12.4M,2017,Private,HR teams; mid-market companies,B2B SaaS,Subscription,North America,Employee engagement; pulse surveys,Growing,Positive,AWS; React; PostgreSQL,https://www.linkedin.com/company/zencante,Employee engagement and culture platform for mid-market companies,Medium
C024,Attio,https://attio.com,CRM,Modern CRM and pipeline platform,United Kingdom,London,England,51-100,14.8M,2022,Private,Sales teams; startups; venture-backed,B2B SaaS,Subscription,Global,CRM; pipeline management; relationship data,Growing,Positive,Next.js; PostgreSQL; AWS,https://www.linkedin.com/company/attio,Modern CRM built for startups and venture-backed sales teams,High
C025,ValueError,https://valueerror.com,Developer Tools,Billing and usage-based pricing infrastructure,United States,San Francisco,California,11-50,4.6M,2021,Private,SaaS companies; usage-based businesses,B2B SaaS,Subscription + usage,Global,Usage-based billing; metering; invoicing,Growing,Positive,Go; PostgreSQL; AWS,https://www.linkedin.com/company/valueerror,Usage-based billing and metering infrastructure for SaaS companies,High
C026,Scale AI,https://scale.com,Artificial Intelligence,Data labeling and AI training platform,United States,San Francisco,California,501-1000,210M,2016,Private,AI companies; enterprises; government,B2B SaaS + services,Subscription + enterprise,Global,AI data labeling; RLHF; model evaluation,Growing,Positive,AWS; Kubernetes; React,https://www.linkedin.com/company/scale-ai,Data labeling and AI training platform powering frontier models and enterprise AI,High
C027,Ramp,https://ramp.com,FinTech,Corporate cards and spend management,United States,New York,New York,501-1000,100M,2019,Private,Finance teams; enterprises,B2B SaaS,Subscription + interchange,Global,Corporate cards; spend management; bill pay,Growing,Positive,React; PostgreSQL; AWS,https://www.linkedin.com/company/ramp,corporate cards and spend management platform for enterprises,High
C028,Vanta,https://vanta.com,Cybersecurity,Security compliance automation,United States,San Francisco,California,251-500,80M,2018,Private,Startups; mature tech companies,B2B SaaS,Subscription,North America,Security compliance; SOC 2; ISO 27001,Growing,Positive,React; AWS; PostgreSQL,https://www.linkedin.com/company/vanta,Security compliance automation platform helping companies get SOC 2 and ISO certified,High
C029,Deel,https://deel.com,Human Resources,Payroll and global HR platform,United States,San Francisco,California,501-1000,250M,2019,Private,Companies with global teams,B2B SaaS,Subscription,Global,Payroll; global HR; EOR,Growing,Positive,React; AWS; PostgreSQL,https://www.linkedin.com/company/deel,Global payroll and HR platform for companies with international teams,High
C030,Notion Labs,https://notion.so,Productivity,Workspace and document collaboration,United States,San Francisco,California,501-1000,100M,2016,Private,Knowledge workers; teams,B2B SaaS,Freemium + enterprise,Global,Documents; wikis; project management,Growing,Positive,React; AWS; PostgreSQL,https://www.linkedin.com/company/notion,All-in-one workspace for docs; wikis; projects; and knowledge management,High
C031,Samsara,https://samsara.com,Logistics Technology,Connected operations for fleets and facilities,United States,San Francisco,California,2501-5000,1470M,2015,Private,Fleets; construction; retail; utilities,B2B SaaS,Subscription,Global,Connected operations; IoT; fleet management,Growing,Positive,React; AWS; Kubernetes,https://www.linkedin.com/company/samsara,Connected operations platform for fleets; facilities; and field teams with IoT and AI,High
C032,Klaviyo,https://klaviyo.com,Marketing Technology,Email and SMS marketing automation,United States,Boston,Massachusetts,1001-5000,538M,2012,Private,E-commerce brands; B2C businesses,B2B SaaS,Subscription,North America; Europe,Email marketing; SMS; customer data platform,Growing,Positive,React; Python; PostgreSQL,https://www.linkedin.com/company/klaviyo,AI-enabled marketing automation platform unifying email; SMS; and customer analytics for B2C brands,High
C033,Celonis,https://celonis.com,Process Intelligence,Process mining and execution management,United States,Munich,Bavaria (Germany),2501-5000,540M,2013,Private,Enterprises; GSIs; consulting firms,B2B SaaS,Subscription + enterprise,Global,Process mining; execution management; data analytics,Growing,Positive,Java; Kubernetes; React; AWS,https://www.linkedin.com/company/celonis,Process mining and execution management platform that helps enterprises analyze operational processes and unlock efficiency,High
C034,Boomi,https://boomi.com,Integration Platform,Enterprise application integration and data management,United States,Philadelphia,Pennsylvania,501-1000,300M,2000,Private,Enterprises; IT organizations,B2B SaaS,Subscription,Global,App integration; data integration; API management,Growing,Positive,Java; AWS; React,https://www.linkedin.com/company/boomi,Enterprise integration platform connecting applications; data; and people across organizations,High
C035,Navan,https://navan.com,Travel & Expense,Corporate travel and expense management,United States,New York,New York,501-1000,300M,2015,Private,Companies with traveling employees,B2B SaaS,Subscription + expense fees,Global,Corporate travel; expense management; carbon tracking,Growing,Positive,React; AWS; PostgreSQL,https://www.linkedin.com/company/navan,Corporate travel and expense management platform with AI-powered receipt scanning and carbon tracking,High
C036,Contentful,https://contentful.com,Content Platform,Composable content management system,United States,Berlin,Berlin (Germany),501-1000,140M,2013,Private,Enterprises; e-commerce; media; agencies,B2B SaaS,Subscription,Global,Composable CMS; content infrastructure; digital experience,Growing,Positive,React; Node.js; AWS; GraphQL,https://www.linkedin.com/company/contentful,Composable content platform enabling enterprises to create; manage; and deliver content across any channel,High
C037,Workiva,https://workiva.com,Financial Software,Cloud-based financial reporting and compliance,United States,Minneapolis,Minnesota,1001-5000,480M,2008,Private,Finance teams; public companies; accounting firms,B2B SaaS,Subscription + professional services,North America; Europe,Financial reporting; SEC filing; WFH; ESG reporting,Growing,Positive,React; Python; AWS; PostgreSQL,https://www.linkedin.com/company/workiva,Financial reporting and compliance platform for public companies with AI-powered document creation,High
C038,Grafana Labs,https://grafana.com,Observability,Observability and data visualization platform,United States,New York,New York,501-1000,250M,2014,Private,DevOps; SRE; data engineers; IT teams,B2B SaaS,Freemium + enterprise,Global,Metrics visualization; logs; traces; alerts,Growing,Positive,Go; React; Kubernetes; PostgreSQL,https://www.linkedin.com/company/grafana-labs,Observability platform with open-source tools for metrics; logs; and traces visualization used by over 10M users,High
C039,JFrog,https://jfrog.com,Developer Tools,Software supply chain management platform,Israel,Tel Aviv,Tel Aviv (Israel),1501-5000,580M,2009,Private,Software engineering teams; enterprises,B2B SaaS,Subscription,Global,Artifact management; CI/CD; security scanning,Growing,Positive,Go; Kubernetes; AWS; PostgreSQL,https://www.linkedin.com/company/jfrog,Software supply chain platform from build to production with artifact management; CI/CD; and security,High
C040,DoubleVerify,https://doubleverify.com,AdTech,Ad verification and brand safety platform,United States,New York,New York,501-1000,380M,2008,Private,Advertisers; media platforms; agencies,B2B SaaS,Subscription + fee-per-impression,North America; Europe; Asia,Ad verification; brand safety; fraud detection,Growing,Positive,Go; Python; AWS; PostgreSQL,https://www.linkedin.com/company/doubleverify,Ad verification and brand safety platform protecting advertisers from fraud; unsuitable content; and invalid traffic,High
C041,Walmart Inc,https://walmart.com,Retail,Retail and e-commerce,United States,Bentonville,Arkansas,2001-5000,713200M,1962,Private,Consumers; businesses; governments,Retail + e-commerce,Product sales + membership,Global,General merchandise; groceries; e-commerce; pharmacy,Growing,Positive,Java; React; AWS; PostgreSQL,https://www.linkedin.com/company/walmart,World's largest retailer with stores in 19 countries and leading e-commerce operations generating $713B revenue in 2025,High
C042,Amazon.com,https://amazon.com,E-commerce + Cloud,E-commerce retail and cloud computing,United States,Seattle,Washington,5001-10000,717000M,1994,Private,Consumers; enterprises; developers,E-commerce + cloud services,Product sales + subscription + cloud revenue,Global,Online retail; cloud computing (AWS); digital streaming; AI,Growing,Positive,Java; React; AWS; Kubernetes; Python,https://www.linkedin.com/company/amazon,Global e-commerce and cloud computing leader generating $717B revenue in 2025 with AWS as the leading cloud provider,High
C043,Caterpillar Inc,https://caterpillar.com,Manufacturing,Construction and agricultural machinery,United States,Irving,Texas,101001-200000,67600M,1925,Public,Construction firms; mining companies; agricultural businesses,Manufacturing + financial services,Product sales + financial services + aftermarket parts,Global,Construction equipment; diesel engines; industrial gas turbines,Growing,Positive,ERP; AWS; SAP; IoT; analytics,https://www.linkedin.com/company/caterpillar,"World's largest manufacturer of construction and mining equipment with $67.6B revenue and 101,000 employees",High
C044,The John Deere Company,https://deere.com,Manufacturing,Agricultural and construction equipment,United States,Moline,Illinois,70101-80000,45700M,1837,Public,Agricultural producers; construction companies; forestry businesses,Manufacturing + financial services,Product sales + equipment financing + aftermarket parts,North America; South America; Europe; Asia Pacific,Agricultural machinery; construction equipment; precision ag technology,Growing,Positive,ERP; SAP; IoT; AI; analytics,https://www.linkedin.com/company/john-deere,"Leading manufacturer of agricultural and construction equipment with $45.7B revenue and 73,100 employees",High
C045,Honeywell International,https://honeywell.com,Manufacturing,Diversified technology and manufacturing,United States,Charlotte,North Carolina,101001-200000,37400M,1906,Public,Airlines; buildings; energy; healthcare; governments,Manufacturing + software + services,Product sales + software + service contracts,Global,Aerospace systems; building technologies; performance materials; safety solutions,Growing,Positive,ERP; SAP; AWS; IoT; analytics,https://www.linkedin.com/company/honeywell-international,"Diversified technology company providing aerospace; building; energy; and safety solutions with $37.4B revenue and 101,000 employees",High
C046,3M Company,https://3m.com,Manufacturing,Multinational conglomerate manufacturing,United States,St. Paul,Minnesota,60101-70000,24900M,1902,Public,Industries; healthcare; consumers; governments,Manufacturing + consumer goods + healthcare,Product sales across multiple divisions,Global,Industrial adhesives; abrasives; healthcare products; consumer goods,Stale,Positive,ERP; SAP; AWS; analytics,https://www.linkedin.com/company/3m,Multinational conglomerate with $24.9B revenue across industrial; safety; healthcare; and consumer business segments,Medium
C047,UnitedHealth Group,https://unitedhealthgroup.com,Healthcare,Managed healthcare and health insurance,United States,Minnetonka,Minnesota,200101-500000,400000M,1977,Public,Individuals; employers; government programs,Healthcare + insurance + services,Insurance premiums + healthcare services revenue,Global,Health insurance (UnitedHealthcare); healthcare services (Optum); data analytics,Growing,Positive,ERP; SAP; AWS; data analytics; AI,https://www.linkedin.com/company/unitedhealth-group,Largest health insurer in the U.S. with $400B revenue combining UnitedHealthcare insurance and Optum health services,High
C048,CVS Health Corporation,https://cvshealth.com,Healthcare,Retail pharmacy and healthcare services,United States,Woonsocket,Rhode Island,100101-200000,350000M,1963,Public,Consumers; patients; health plan members,Retail pharmacy + health insurance + healthcare services,Product sales + pharmacy + insurance premiums,Global,Retail pharmacy (CVS); health insurance (Aetna); healthcare services; pharmacy benefits management,Growing,Positive,ERP; AWS; data analytics; retail systems,https://www.linkedin.com/company/cvs-health,"CVS Health combining CVS Pharmacy; Aetna health insurance; and healthcare services with $350B revenue and 100,000+ employees",High
C049,United Parcel Service Inc,https://ups.com,Logistics,Package delivery and supply chain management,United States,Atlanta,Georgia,50101-100000,91000M,1907,Public,Businesses; consumers; governments,Logistics + package delivery + freight + supply chain,Service revenue + shipping fees + logistics contracts,North America; Europe; Asia Pacific; Latin America; Middle East,Domestic package delivery; international shipping; freight forwarding; warehousing; supply chain solutions,Growing,Positive,ERP; AWS; telematics; route optimization; AI,https://www.linkedin.com/company/ups,"World's largest package delivery company with $91B revenue; 534,000 employees; and global logistics operations across 220+ countries",High
C050,FedEx Corporation,https://fedex.com,Logistics,Package and freight delivery,United States,Memphis,Tennessee,50101-100000,90000M,1971,Public,Individuals; businesses; governments,Logistics + package delivery + freight + express shipping,Service revenue + shipping fees + freight revenue,North America; Europe; Asia Pacific; Latin America,Ground delivery; express air freight; freight forwarding; customs brokerage; logistics solutions,Growing,Positive,ERP; AWS; telematics; route optimization; analytics,https://www.linkedin.com/company/fedex,FedEx global logistics company with $90B revenue providing package; freight; and supply chain delivery services worldwide,High
C051,Danaher Corporation,https://danaher.com,Manufacturing,Life sciences and diagnostics technology,United States,Washington,D.C.,50101-100000,28000M,1969,Public,Life sciences researchers; hospitals; pharmaceutical companies; food safety labs,Manufacturing + life sciences + diagnostics,Product sales + service contracts + test kits,Global,Life science research tools; bioprocessing; diagnostics; water quality testing,Growing,Positive,ERP; SAP; AWS; data analytics; AI,https://www.linkedin.com/company/danaher-corporation,Science and technology innovator with $28B revenue across life sciences; diagnostics; and environmental testing businesses,High
C052,PG&E Corporation,https://pge.com,Utilities,Electricity and natural gas utility,United States,Oakland,California,10101-20000,51000M,1905,Public,Electricity and gas customers in Northern and Central California,Utilities,Service charges + energy delivery + gas sales,North America,Electricity generation; transmission; distribution; natural gas delivery; energy efficiency programs,Growing,Neutral,ERP; AMI smart meters; grid automation; data analytics,https://www.linkedin.com/company/pg-and-e,Pacific Gas and Electric utility serving 16 million people in Northern and Central California with $51B revenue,Medium
C053,Procter & Gamble Company,https://pg.com,Consumer Goods,Consumer packaged goods manufacturer,United States,Cincinnati,Ohio,100101-200000,84000M,1837,Public,Consumers globally; retailers; wholesale distributors,Consumer goods manufacturing,Product sales across brands,Global,Household care; personal care; baby care; grooming; health; fabric care,Stale,Positive,ERP; SAP; AWS; supply chain systems; analytics,https://www.linkedin.com/company/procter-and-gamble,"Global consumer goods company behind Tide; Pampers; Gillette; Crest; and many other brands with $84B revenue and 100,000+ employees",High
C054,The Chevron Corporation,https://chevron.com,Energy,Oil and gas exploration and production,United States,San Ramon,California,40101-50000,39000M,1879,Public,Oil and gas customers; energy consumers,Energy,Product sales + refining + marketing + chemicals,North America; South America; Asia Pacific,Energy exploration; production; refining; marketing; chemicals,Growing,Neutral,ERP; SAP; IoT; data analytics,https://www.linkedin.com/company/chevron,Major integrated energy company exploring; producing; refining; and marketing oil; gas; and energy products with $39B revenue,Medium
C055,Delta Air Lines,https://delta.com,Airlines,Airline transportation services,United States,Atlanta,Georgia,10101-20000,95000M,1925,Public,Passengers; cargo customers; businesses,Airline services,Passenger fares + cargo + ancillary fees + loyalty program,North America; Europe; Asia Pacific; Latin America; Africa,Passenger air travel; cargo; loyalty program (SkyMiles); inflight services,Growing,Positive,Java; AWS; data analytics; reservations systems,https://www.linkedin.com/company/delta-air-lines,"Leading U.S. airline with $95B revenue; 10,100+ employees; and the largest domestic airline by revenue serving 325+ destinations worldwide",High
C056,American Airlines Group,https://aa.com,Airlines,Airline transportation services,United States,Dallas,Texas,10101-20000,93000M,1934,Public,Passengers; cargo customers; businesses,Airline services,Passenger fares + cargo + ancillary fees + loyalty program,North America; Latin America; Caribbean; Europe; Asia Pacific,Passenger air travel; cargo; loyalty program (AAdvantage); inflight services,Growing,Neutral,Java; AWS; data analytics; reservations systems,https://www.linkedin.com/company/american-airlines-group,"Largest U.S. airline by fleet size and passenger miles with $93B revenue and 10,100+ employees serving 350+ destinations",High
C057,United Airlines Holdings,https://united.com,Airlines,Airline transportation services,United States,Chicago,Illinois,10101-20000,90000M,1926,Public,Passengers; cargo customers; businesses,Airline services,Passenger fares + cargo + ancillary fees + loyalty program,North America; Europe; Asia Pacific; Latin America; Middle East; Africa,Passenger air travel; cargo; loyalty program (MileagePlus); inflight services,Growing,Positive,Java; AWS; data analytics; reservations systems,https://www.linkedin.com/company/united-airlines,"Major U.S. airline with $90B revenue and 10,100+ employees operating 4 hubs and serving 350+ destinations worldwide",High
C058,Southwest Airlines,https://southwest.com,Airlines,Airline transportation services,United States,Dallas,Texas,50101-100000,94000M,1967,Public,Passengers; businesses,Airline services,Passenger fares + ancillary fees + loyalty program,North America; Caribbean; Mexico; Central America; Europe,Passenger air travel; loyalty program (Rapid Rewards); inflight services,Growing,Positive,Java; AWS; data analytics; reservations systems,https://www.linkedin.com/company/southwest-airlines,"Largest U.S. domestic airline by passengers carried with $94B revenue and 50,100+ employees known for low fares and point-to-point routing",High
C059,Walt Disney Company,https://disney.com,Media & Entertainment,Media and entertainment conglomerate,United States,Burbank,California,10101-20000,91000M,1923,Public,Families; consumers; businesses worldwide,Media + entertainment + parks + streaming,Media revenue + parks; experiences; products; streaming subscriptions + advertising revenue,Global,Film and TV production; theme parks; streaming (Disney+; Hulu); consumer products; animation; sports (ESPN),Growing,Positive,Java; AWS; React; data analytics; content management systems,https://www.linkedin.com/company/walt-disney-company,Leading global media and entertainment company with $91B revenue spanning film; TV; theme parks; streaming; consumer products; and sports including ESPN,High
C060,Comcast Corporation,https://comcast.com,Media & Entertainment,Media and telecommunications conglomerate,United States,Philadelphia,Pennsylvania,10101-20000,124000M,1963,Public,Consumers; businesses; advertisers,Media + telecommunications + cable + streaming,Media revenue + cable; broadband; phone + advertising + streaming subscriptions,Global,Cable TV; broadband internet; phone services; NBCUniversal; streaming (Peacock); advertising,Growing,Positive,Java; AWS; data analytics; content management systems,https://www.linkedin.com/company/comcast,Largest U.S. cable and media conglomerate with $124B revenue including NBCUniversal; Xfinity; and Peacock streaming service with 41M subscribers,High
C061,Netflix,https://netflix.com,Media & Entertainment,Streaming entertainment services,United States,Los Gatos,California,10101-20000,39000M,1997,Public,Subscribers worldwide; content producers,Streaming services,Subscription fees + advertising revenue,Global,Video streaming; original content production; film and TV licensing; advertising-supported tier,Growing,Positive,Java; AWS; React; data analytics; content delivery networks,https://www.linkedin.com/company/netflix,Leading global streaming entertainment service with $39B revenue; 301.6M subscribers; and original content across film; TV; and gaming,High
C062,Warner Bros Discovery,https://wbd.com,Media & Entertainment,Media and entertainment conglomerate,United States,New York,New York,10101-20000,39000M,2022,Public,Consumers; advertisers; content partners,Media + entertainment + streaming,Advertising revenue + subscription revenue + content licensing,Global,Film and TV production; HBO Max; Max streaming; cable networks (CNN; HBO; Discovery); news; sports,Growing,Neutral,Java; AWS; React; data analytics; content management systems,https://www.linkedin.com/company/warner-bros-discovery,Global media company formed from WarnerMedia and Discovery combining HBO; CNN; Discovery+; and major film and TV studios,High
C063,Paramount Global,https://paramount.com,Media & Entertainment,Media and entertainment conglomerate,United States,New York,New York,10101-20000,29000M,1912,Public,Consumers; advertisers; content partners,Media + entertainment + streaming,Advertising revenue + subscription revenue + content licensing,Global,CBS television network; Paramount Pictures film studio; Paramount+ streaming; Pluto TV; Nickelodeon; Comedy Central; news,Growing,Neutral,Java; AWS; React; data analytics; content management systems,https://www.linkedin.com/company/paramount-global,Global media and entertainment company with CBS; Paramount Pictures; Paramount+; Pluto TV; and brands including Nickelodeon and Comedy Central with $29B revenue,High
C064,Verizon Communications,https://verizon.com,Telecommunications,Wireless and wired communications services,United States,New York,New York,10101-20000,138000M,2000,Public,Consumers; businesses; government organizations,Telecommunications services,Service revenue + equipment sales + advertising,North America; Europe; Asia Pacific; Latin America,Wireless voice and data; broadband; 5G network; fiber internet; IoT; managed network services,Growing,Neutral,Java; AWS; data analytics; network infrastructure; 5G technology,https://www.linkedin.com/company/verizon-communications,"Largest U.S. wireless carrier with $138B revenue; 132,200 employees; 146M+ wireless connections; and the most reliable 5G network",High
C065,AT&T Inc,https://att.com,Telecommunications,Wireless and wired communications services,United States,Dallas,Texas,10101-20000,126000M,1983,Public,Consumers; businesses; government organizations,Telecommunications services,Service revenue + equipment sales + advertising,North America; Europe; Latin America,Wireless voice and data; broadband; fiber internet; 5G network; managed networking services,Growing,Neutral,Java; AWS; data analytics; network infrastructure; 5G technology,https://www.linkedin.com/company/att,"Large U.S. telecommunications provider with $126B revenue; 133,000 employees; 118M+ wireless subscribers; and the largest fiber network in America",High
C066,T-Mobile US,https://t-mobile.com,Telecommunications,Wireless communications services,United States,Bellevue,Washington,10101-20000,84000M,2001,Public,Consumers; businesses; government organizations,Telecommunications services,Service revenue + equipment sales + advertising + wholesale,North America; Europe; Latin America,Wireless voice and data; 5G network; broadband internet; IoT; managed services,Growing,Positive,Java; AWS; data analytics; network infrastructure; 5G technology,https://www.linkedin.com/company/t-mobile-us,Largest U.S. wireless carrier by subscribers with $84B revenue; 130M+ customers; and the fastest 5G network in the U.S.,High
C067,PepsiCo Inc,https://pepsico.com,Food & Beverage,Convenience foods and beverages,United States,Purchase,New York,10101-20000,91000M,1965,Public,Consumers; retailers; foodservice businesses,Food and beverage manufacturing and sales,Product sales + franchise revenue + licensing revenue,Global,Snacks (Frito-Lay); beverages (PepsiCo Beverages); Quaker foods; Gatorade; Tropicana; Lay's; Doritos; Pepsi,Growing,Positive,ERP; SAP; AWS; supply chain systems; data analytics; manufacturing,https://www.linkedin.com/company/pepsico,Global food and beverage leader with $91B revenue across snacks; beverages; and nutrition brands including Frito-Lay; Pepsi; Gatorade; Quaker; and Tropicana,High
